"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2026,2,4,27,1,2026-04-27,"DL",19790,"DL","N398DA","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0848",-2.00,0.00,0.00,-1,"0800-0859",31.00,"0919","1000",11.00,"0958","1011",13.00,13.00,0.00,0,"0900-0959",0.00,"",0.00,68.00,83.00,41.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,28,2,2026-04-28,"DL",19790,"DL","N37700","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0946",56.00,56.00,1.00,3,"0800-0859",9.00,"0955","1026",8.00,"0958","1034",36.00,36.00,1.00,2,"0900-0959",0.00,"",0.00,68.00,48.00,31.00,1.00,153.00,1,0.00,0.00,36.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,29,3,2026-04-29,"DL",19790,"DL","N385DN","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0847",-3.00,0.00,0.00,-1,"0800-0859",9.00,"0856","0930",13.00,"0958","0943",-15.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,68.00,56.00,34.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,30,4,2026-04-30,"DL",19790,"DL","N3760C","1619",11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,10397,1039708,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"0850","0854",4.00,4.00,0.00,0,"0800-0859",13.00,"0907","0942",10.00,"0958","0952",-6.00,0.00,0.00,-1,"0900-0959",0.00,"",0.00,68.00,58.00,35.00,1.00,153.00,1,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,1,3,2026-04-01,"DL",19790,"DL","N938AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1745",-14.00,0.00,0.00,-1,"1700-1759",11.00,"1756","1957",18.00,"2030","2015",-15.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,91.00,90.00,61.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,2,4,2026-04-02,"DL",19790,"DL","N994AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1753",-6.00,0.00,0.00,-1,"1700-1759",9.00,"1802","2004",14.00,"2030","2018",-12.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,91.00,85.00,62.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,3,5,2026-04-03,"DL",19790,"DL","N949AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1747",-12.00,0.00,0.00,-1,"1700-1759",10.00,"1757","2000",10.00,"2030","2010",-20.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,91.00,83.00,63.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,5,7,2026-04-05,"DL",19790,"DL","N965AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1759",0.00,0.00,0.00,0,"1700-1759",9.00,"1808","2013",9.00,"2030","2022",-8.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,91.00,83.00,65.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,6,1,2026-04-06,"DL",19790,"DL","N983AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1745",-14.00,0.00,0.00,-1,"1700-1759",9.00,"1754","1957",14.00,"2030","2011",-19.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,91.00,86.00,63.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,7,2,2026-04-07,"DL",19790,"DL","N926AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1756",-3.00,0.00,0.00,-1,"1700-1759",11.00,"1807","2011",8.00,"2030","2019",-11.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,91.00,83.00,64.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,8,3,2026-04-08,"DL",19790,"DL","N990AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1751",-8.00,0.00,0.00,-1,"1700-1759",12.00,"1803","2007",8.00,"2030","2015",-15.00,0.00,0.00,-1,"2000-2059",0.00,"",0.00,91.00,84.00,64.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,9,4,2026-04-09,"DL",19790,"DL","N966AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1851",52.00,52.00,1.00,3,"1700-1759",10.00,"1901","2105",6.00,"2030","2111",41.00,41.00,1.00,2,"2000-2059",0.00,"",0.00,91.00,80.00,64.00,1.00,440.00,2,0.00,0.00,0.00,0.00,41.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,10,5,2026-04-10,"DL",19790,"DL","N961AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1754",-5.00,0.00,0.00,-1,"1700-1759",9.00,"1803","2003",7.00,"2030","2010",-20.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,91.00,76.00,60.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,12,7,2026-04-12,"DL",19790,"DL","N948AT","1620",15016,1501606,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,"1759","1746",-13.00,0.00,0.00,-1,"1700-1759",8.00,"1754","1955",6.00,"2030","2001",-29.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,91.00,75.00,61.00,1.00,440.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2026,2,4,13,1,2026-04-13,"DL",19790,"DL","N127DN","1620",12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,13303,1330304,32467,"MIA","Miami, FL","FL","12","Florida",33,"1745","1818",33.00,33.00,1.00,2,"1700-1759",25.00,"1843","2111",8.00,"2059","2119",20.00,20.00,1.00,1,"2000-2059",0.00,"",0.00,194.00,181.00,148.00,1.00,1096.00,5,20.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
